artless, base-court apple-john
bawdy, bat-fowling baggage
beslubbering, beef-witted barnacle
bootless, beetle-headed bladder
churlish, boil-brained boar-pig
cockered, clapper-clawed bugbear
clouted, clay-brained bum-bailey
craven, common-kissing canker-blossom
currish, crook-pated clack-dish
dankish, dismal-dreaming clotpole
dissembling, dizzy-eyed coxcomb
droning, doghearted codpiece
errant, dread-bolted death-token
fawning, earth-vexing dewberry
fobbing, elf-skinned flap-dragon
froward, fat-kidneyed flax-wench
frothy, fen-sucked flirt-gill
gleeking, flap-mouthed foot-licker
goatish, fly-bitten fustilarian
gorbellied, folly-fallen giglet
